Tm,Yr,Total_AV,Expected_AV,Picks,AV_Above_Expected
MIA,2023,19.0,36.5191330105942,3,-17.519133010594203
MIN,2000,48.0,81.98400419840094,6,-33.98400419840094
MIN,2001,42.0,91.07496536345776,7,-49.074965363457764
MIN,2002,83.0,90.68722163288754,5,-7.6872216328875425
MIN,2003,180.0,99.61767275425227,7,80.38232724574773
MIN,2004,70.0,93.78259361782118,7,-23.782593617821178
MIN,2005,25.0,99.14559164875745,5,-74.14559164875745
MIN,2006,149.0,99.61543149362147,6,49.38456850637853
MIN,2007,162.0,98.36345878638727,6,63.63654121361273
MIN,2008,58.0,41.38326405051076,4,16.61673594948924
MIN,2009,111.0,70.26788326890086,5,40.73211673109914
MIN,2010,95.0,70.9632535573834,6,24.036746442616604
MIN,2011,89.0,96.78124804892309,8,-7.781248048923089
MIN,2012,159.0,122.6812495668552,8,36.3187504331448
MIN,2013,88.0,103.5595760095001,7,-15.559576009500105
MIN,2014,126.0,105.8865721779106,8,20.113427822089406
MIN,2015,184.0,103.42756708163202,8,80.57243291836798
MIN,2016,30.0,77.54929920064811,7,-47.54929920064811
MIN,2017,110.0,75.24368349943364,7,34.756316500566356
MIN,2018,69.0,72.39004585242476,6,-3.3900458524247625
MIN,2019,90.0,103.68274474446254,10,-13.68274474446254
MIN,2020,159.0,140.81069523081877,12,18.189304769181234
MIN,2021,54.0,111.37648463531139,8,-57.376484635311385
MIN,2022,38.0,104.80187917409982,8,-66.80187917409982
MIN,2023,21.0,63.94969441826746,5,-42.94969441826746
NOR,2000,53.0,61.90397192881881,6,-8.903971928818812
NOR,2001,79.0,54.57761751538981,3,24.42238248461019
NOR,2002,111.0,106.90015001329586,6,4.099849986704143
NOR,2003,71.0,96.76516880164338,6,-25.765168801643384
NOR,2004,110.0,84.52522056480021,6,25.474779435199792
NOR,2005,60.0,69.23392863395,4,-9.23392863395
NOR,2006,306.0,87.60575080970001,5,218.3942491903
NOR,2007,75.0,55.18258093319214,4,19.817419066807858
NOR,2008,93.0,84.59015962145881,6,8.40984037854119
NOR,2009,55.0,48.1570088494229,3,6.842991150577099
NOR,2010,71.0,59.277661842944994,4,11.722338157055006
NOR,2011,161.0,81.06977534686246,5,79.93022465313754
NOR,2012,26.0,31.730342479378866,3,-5.730342479378866
NOR,2013,92.0,66.6453343398574,4,25.3546656601426
NOR,2014,22.0,58.72464385575033,4,-36.72464385575033
NOR,2015,103.0,107.59131601650051,7,-4.591316016500514
NOR,2016,120.0,81.5601460551689,5,38.4398539448311
NOR,2017,224.0,116.05224335297451,6,107.94775664702549
NOR,2018,37.0,46.91387190248312,3,-9.913871902483123
NOR,2019,52.0,42.089280287151226,4,9.910719712848774
NOR,2020,42.0,51.43707365778768,3,-9.437073657787678
NOR,2021,54.0,74.38228490131303,6,-20.382284901313028
NOR,2022,48.0,84.96758622738514,4,-36.96758622738514
NOR,2023,24.0,95.98670414783204,7,-71.98670414783204
NWE,2000,209.0,67.41797388355721,7,141.5820261164428
NWE,2001,170.0,86.85988621211936,6,83.14011378788064
NWE,2002,101.0,67.0773951947165,5,33.9226048052835
NWE,2003,191.0,104.53309637392618,7,86.46690362607382
